timestamp,machine_id,machine_type,part_id,operator,cycle_time,temperature,vibration,power_consumption,rpm,tool_number,tool_wear,status,error_code,production_count
2026-07-31 08:05:02,CNC-05,Torno CNC,P0014,Juliana,18.2,37.4,0.17,4.00,2670,T04,6.1,RUNNING,,2
2026-07-31 08:05:26,CNC-01,Centro de Usinagem,P0015,Carlos,21.7,42.0,0.27,5.20,3505,T01,13.6,RUNNING,,5
2026-07-31 08:05:50,CNC-02,Torno CNC,P0016,Ana,19.0,38.7,0.21,4.35,2830,T03,8.5,RUNNING,,4
2026-07-31 08:06:13,CNC-03,Fresadora CNC,P0017,Marcos,24.9,42.7,0.34,5.85,4110,T07,27.0,RUNNING,,4
2026-07-31 08:06:38,CNC-04,Centro de Usinagem,P0018,Pedro,22.8,41.5,0.28,5.30,3595,T02,19.1,RUNNING,,3
2026-07-31 08:07:01,CNC-05,Torno CNC,P0019,Juliana,18.0,37.9,0.19,4.05,2680,T04,6.5,RUNNING,,3
2026-07-31 08:07:25,CNC-01,Centro de Usinagem,P0020,Carlos,22.3,43.1,0.31,5.40,3495,T01,14.0,RUNNING,,6
2026-07-31 08:07:49,CNC-02,Torno CNC,P0021,Ana,19.3,39.1,0.23,4.45,2840,T03,9.0,RUNNING,,5
2026-07-31 08:08:12,CNC-03,Fresadora CNC,P0022,Marcos,25.2,43.5,0.39,6.05,4130,T07,28.0,WARNING,W002,5
2026-07-31 08:08:36,CNC-04,Centro de Usinagem,P0023,Pedro,23.0,42.2,0.30,5.45,3620,T02,20.0,RUNNING,,4
2026-07-31 08:09:00,CNC-05,Torno CNC,P0024,Juliana,18.4,38.3,0.20,4.10,2690,T04,7.0,RUNNING,,4
2026-07-31 08:09:24,CNC-01,Centro de Usinagem,P0025,Carlos,22.0,44.0,0.36,5.65,3515,T01,14.8,RUNNING,,7
2026-07-31 08:09:48,CNC-02,Torno CNC,P0026,Ana,19.7,40.0,0.25,4.55,2850,T03,9.5,RUNNING,,6
2026-07-31 08:10:11,CNC-03,Fresadora CNC,P0027,Marcos,25.5,44.2,0.42,6.20,4140,T07,29.1,WARNING,W002,6
2026-07-31 08:10:35,CNC-04,Centro de Usinagem,P0028,Pedro,22.7,42.8,0.32,5.55,3630,T02,20.8,RUNNING,,5
2026-07-31 08:10:59,CNC-05,Torno CNC,P0029,Juliana,18.6,38.7,0.21,4.15,2700,T04,7.6,RUNNING,,5
2026-07-31 08:11:22,CNC-01,Centro de Usinagem,P0030,Carlos,22.4,45.1,0.48,5.90,3500,T01,15.6,WARNING,W001,8
2026-07-31 08:11:46,CNC-02,Torno CNC,P0031,Ana,19.4,40.5,0.27,4.60,2860,T03,10.2,RUNNING,,7
2026-07-31 08:12:10,CNC-03,Fresadora CNC,P0032,Marcos,25.8,44.8,0.46,6.35,4150,T07,30.5,WARNING,W002,7
2026-07-31 08:12:34,CNC-04,Centro de Usinagem,P0033,Pedro,23.2,43.5,0.34,5.70,3640,T02,21.7,RUNNING,,6
2026-07-31 08:12:58,CNC-05,Torno CNC,P0034,Juliana,18.9,39.2,0.23,4.25,2710,T04,8.2,RUNNING,,6
2026-07-31 08:13:21,CNC-01,Centro de Usinagem,P0035,Carlos,23.1,46.2,0.57,6.20,3485,T01,16.4,ERROR,E101,9
2026-07-31 08:13:45,CNC-02,Torno CNC,P0036,Ana,19.8,41.2,0.29,4.70,2870,T03,10.8,RUNNING,,8
2026-07-31 08:14:09,CNC-03,Fresadora CNC,P0037,Marcos,26.1,45.3,0.51,6.50,4160,T07,32.0,ERROR,E103,8
2026-07-31 08:14:33,CNC-04,Centro de Usinagem,P0038,Pedro,23.5,44.0,0.37,5.85,3650,T02,22.5,RUNNING,,7
2026-07-31 08:14:57,CNC-05,Torno CNC,P0039,Juliana,19.1,39.8,0.25,4.35,2720,T04,8.9,RUNNING,,7
2026-07-31 08:15:20,CNC-01,Centro de Usinagem,P0040,Carlos,22.8,43.7,0.33,5.55,3510,T01,17.1,RUNNING,,10
2026-07-31 08:15:44,CNC-02,Torno CNC,P0041,Ana,20.1,41.7,0.31,4.80,2880,T03,11.5,RUNNING,,9
2026-07-31 08:16:08,CNC-03,Fresadora CNC,P0042,Marcos,25.6,43.9,0.40,6.10,4125,T07,33.2,RUNNING,,9
2026-07-31 08:16:32,CNC-04,Centro de Usinagem,P0043,Pedro,23.0,43.1,0.35,5.75,3660,T02,23.4,RUNNING,,8
2026-07-31 08:16:56,CNC-05,Torno CNC,P0044,Juliana,19.0,40.4,0.26,4.40,2730,T04,9.6,RUNNING,,8
2026-07-31 08:17:20,CNC-01,Centro de Usinagem,P0045,Carlos,22.5,44.5,0.41,5.75,3520,T01,17.8,RUNNING,,11
2026-07-31 08:17:44,CNC-02,Torno CNC,P0046,Ana,20.0,42.3,0.33,4.90,2890,T03,12.1,RUNNING,,10
2026-07-31 08:18:08,CNC-03,Fresadora CNC,P0047,Marcos,26.0,44.6,0.44,6.25,4145,T07,34.5,WARNING,W002,10
2026-07-31 08:18:32,CNC-04,Centro de Usinagem,P0048,Pedro,23.6,44.2,0.39,5.95,3670,T02,24.3,RUNNING,,9
2026-07-31 08:18:56,CNC-05,Torno CNC,P0049,Juliana,19.3,40.9,0.28,4.50,2740,T04,10.4,RUNNING,,9
2026-07-31 08:19:20,CNC-01,Centro de Usinagem,P0050,Carlos,23.0,45.8,0.53,6.05,3490,T01,18.7,WARNING,W001,12
2026-07-31 08:19:44,CNC-02,Torno CNC,P0051,Ana,20.2,42.8,0.35,5.00,2900,T03,12.8,RUNNING,,11
2026-07-31 08:20:08,CNC-03,Fresadora CNC,P0052,Marcos,26.3,46.0,0.55,6.60,4170,T07,36.0,ERROR,E103,11
2026-07-31 08:20:32,CNC-04,Centro de Usinagem,P0053,Pedro,23.8,44.7,0.42,6.05,3680,T02,25.1,WARNING,W003,10
2026-07-31 08:20:56,CNC-05,Torno CNC,P0054,Juliana,19.5,41.5,0.30,4.60,2750,T04,11.2,RUNNING,,10
2026-07-31 08:21:20,CNC-01,Centro de Usinagem,P0055,Carlos,22.7,44.1,0.39,5.80,3510,T01,19.4,RUNNING,,13
2026-07-31 08:21:44,CNC-02,Torno CNC,P0056,Ana,20.4,43.1,0.37,5.10,2910,T03,13.5,RUNNING,,12
2026-07-31 08:22:08,CNC-03,Fresadora CNC,P0057,Marcos,25.9,45.1,0.48,6.40,4155,T07,37.2,WARNING,W002,12
2026-07-31 08:22:32,CNC-04,Centro de Usinagem,P0058,Pedro,24.0,45.0,0.47,6.15,3690,T02,26.0,WARNING,W003,11
2026-07-31 08:22:56,CNC-05,Torno CNC,P0059,Juliana,19.7,42.0,0.32,4.70,2760,T04,12.0,RUNNING,,11
2026-07-31 08:23:20,CNC-01,Centro de Usinagem,P0060,Carlos,23.2,46.8,0.62,6.35,3500,T01,20.3,ERROR,E102,14
2026-07-31 08:23:44,CNC-02,Torno CNC,P0061,Ana,20.6,43.7,0.39,5.20,2920,T03,14.2,RUNNING,,13
2026-07-31 08:24:08,CNC-03,Fresadora CNC,P0062,Marcos,26.5,44.7,0.43,6.30,4135,T07,38.5,RUNNING,,13
2026-07-31 08:24:32,CNC-04,Centro de Usinagem,P0063,Pedro,24.2,45.5,0.50,6.25,3700,T02,27.1,WARNING,W003,12
2026-07-31 08:24:56,CNC-05,Torno CNC,P0064,Juliana,19.9,42.6,0.34,4.80,2770,T04,12.8,RUNNING,,12
2026-07-31 08:25:20,CNC-01,Centro de Usinagem,P0065,Carlos,23.5,47.2,0.66,6.55,3480,T01,21.1,ERROR,E102,15
2026-07-31 08:25:44,CNC-02,Torno CNC,P0066,Ana,20.8,44.2,0.42,5.30,2930,T03,15.0,WARNING,W001,14
2026-07-31 08:26:08,CNC-03,Fresadora CNC,P0067,Marcos,26.8,46.5,0.58,6.75,4180,T07,40.0,ERROR,E103,14
2026-07-31 08:26:32,CNC-04,Centro de Usinagem,P0068,Pedro,24.4,46.1,0.55,6.40,3710,T02,28.0,ERROR,E104,13
2026-07-31 08:26:56,CNC-05,Torno CNC,P0069,Juliana,20.1,43.0,0.36,4.90,2780,T04,13.6,RUNNING,,13
2026-07-31 08:27:20,CNC-01,Centro de Usinagem,P0070,Carlos,23.8,45.0,0.45,6.00,3505,T01,22.0,WARNING,W001,16
2026-07-31 08:27:44,CNC-02,Torno CNC,P0071,Ana,21.0,44.8,0.46,5.40,2940,T03,16.2,WARNING,W001,15
2026-07-31 08:28:08,CNC-03,Fresadora CNC,P0072,Marcos,26.4,45.7,0.49,6.55,4165,T07,41.3,WARNING,W002,15
2026-07-31 08:28:32,CNC-04,Centro de Usinagem,P0073,Pedro,24.6,44.9,0.44,6.20,3720,T02,29.1,RUNNING,,14
2026-07-31 08:28:56,CNC-05,Torno CNC,P0074,Juliana,20.3,43.5,0.38,5.00,2790,T04,14.5,RUNNING,,14
2026-07-31 08:29:20,CNC-01,Centro de Usinagem,P0075,Carlos,24.1,46.0,0.58,6.25,3495,T01,23.1,ERROR,E102,17
2026-07-31 08:29:44,CNC-02,Torno CNC,P0076,Ana,21.2,45.2,0.51,5.55,2950,T03,17.5,ERROR,E105,16
2026-07-31 08:30:08,CNC-03,Fresadora CNC,P0077,Marcos,27.0,47.1,0.63,6.90,4190,T07,43.0,ERROR,E103,16
2026-07-31 08:30:32,CNC-04,Centro de Usinagem,P0078,Pedro,24.8,45.8,0.52,6.35,3730,T02,30.2,ERROR,E104,15
2026-07-31 08:30:56,CNC-05,Torno CNC,P0079,Juliana,20.5,44.0,0.40,5.10,2800,T04,15.4,RUNNING,,15
2026-07-31 08:31:20,CNC-01,Centro de Usinagem,P0080,Carlos,23.6,43.8,0.37,5.70,3510,T01,23.8,RUNNING,,18
2026-07-31 08:31:44,CNC-02,Torno CNC,P0081,Ana,20.4,43.5,0.38,5.20,2935,T03,18.3,RUNNING,,17
2026-07-31 08:32:08,CNC-03,Fresadora CNC,P0082,Marcos,26.2,44.3,0.41,6.20,4140,T07,44.2,RUNNING,,17
2026-07-31 08:32:32,CNC-04,Centro de Usinagem,P0083,Pedro,24.3,44.1,0.40,6.00,3715,T02,31.0,RUNNING,,16
2026-07-31 08:32:56,CNC-05,Torno CNC,P0084,Juliana,20.0,42.8,0.33,4.95,2795,T04,16.1,RUNNING,,16
2026-07-31 08:33:20,CNC-01,Centro de Usinagem,P0085,Carlos,22.9,42.5,0.32,5.45,3500,T01,24.5,RUNNING,,19
2026-07-31 08:33:44,CNC-02,Torno CNC,P0086,Ana,20.1,42.2,0.34,5.05,2925,T03,19.1,RUNNING,,18
2026-07-31 08:34:08,CNC-03,Fresadora CNC,P0087,Marcos,25.7,43.6,0.37,5.95,4120,T07,45.0,RUNNING,,18
2026-07-31 08:34:32,CNC-04,Centro de Usinagem,P0088,Pedro,23.9,43.0,0.36,5.80,3705,T02,31.8,RUNNING,,17
2026-07-31 08:34:56,CNC-05,Torno CNC,P0089,Juliana,19.8,41.9,0.29,4.75,2785,T04,16.8,RUNNING,,17
2026-07-31 08:35:20,CNC-01,Centro de Usinagem,P0090,Carlos,22.5,41.8,0.28,5.30,3515,T01,25.2,RUNNING,,20
2026-07-31 08:35:44,CNC-02,Torno CNC,P0091,Ana,19.9,41.5,0.30,4.95,2915,T03,19.8,RUNNING,,19
2026-07-31 08:36:08,CNC-03,Fresadora CNC,P0092,Marcos,25.3,42.9,0.34,5.80,4105,T07,45.8,RUNNING,,19
2026-07-31 08:36:32,CNC-04,Centro de Usinagem,P0093,Pedro,23.6,42.5,0.33,5.65,3695,T02,32.5,RUNNING,,18
2026-07-31 08:36:56,CNC-05,Torno CNC,P0094,Juliana,19.5,41.2,0.27,4.60,2775,T04,17.5,RUNNING,,18
2026-07-31 08:37:20,CNC-01,Centro de Usinagem,P0095,Carlos,22.2,40.9,0.25,5.15,3505,T01,25.9,RUNNING,,21
2026-07-31 08:37:44,CNC-02,Torno CNC,P0096,Ana,19.7,40.8,0.26,4.80,2905,T03,20.5,RUNNING,,20
2026-07-31 08:38:08,CNC-03,Fresadora CNC,P0097,Marcos,24.9,42.1,0.31,5.65,4095,T07,46.6,RUNNING,,20
2026-07-31 08:38:32,CNC-04,Centro de Usinagem,P0098,Pedro,23.2,41.8,0.30,5.50,3685,T02,33.2,RUNNING,,19
2026-07-31 08:38:56,CNC-05,Torno CNC,P0099,Juliana,19.2,40.5,0.24,4.50,2765,T04,18.2,RUNNING,,19
2026-07-31 08:39:20,CNC-01,Centro de Usinagem,P0100,Carlos,21.9,40.2,0.22,5.00,3495,T01,26.5,RUNNING,,22
